first_name,middle_name,last_name,suffix,nickname,birthday,gender,start_date,end_date,party,class,type,state,district,bioguide,thomas,govtrack
James,Joseph,Florio,,,1937-08-29,M,1975-01-14,1990-01-16,Democrat,,rep,NJ,1,F000215,00392,404170
William,Eldridge,Frenzel,,,1928-07-31,M,1971-01-21,1990-10-28,Republican,,rep,MN,3,F000380,00415,404325
Robert,,Garcia,,,1933-01-09,M,1977-01-04,1990-01-07,Democrat,,rep,NY,18,G000047,00429,404422
James,William,Grant,,,1943-09-21,M,1987-01-06,1990-10-28,Republican,,rep,FL,2,G000382,00456,404733
Augustus,Freeman,Hawkins,,Gus,1907-08-31,M,1963-01-09,1990-10-28,Democrat,,rep,CA,29,H000367,00515,405236
Henry,John,Heinz,III,,1938-10-23,M,1971-01-21,1991-12-31,Republican,1,sen,PA,,H000456,00528,405321
John,Patrick,Hiler,,,1953-04-24,M,1981-01-05,1990-10-28,Republican,,rep,IN,3,H000586,00537,405448
Robert,William,Kastenmeier,,,1924-01-24,M,1959-01-07,1990-10-28,Democrat,,rep,WI,2,K000020,00620,406191
James,Marvin,Leath,,,1931-05-06,M,1979-01-15,1990-10-28,Democrat,,rep,TX,11,L000180,00673,406682
Thomas,Andrew,Luken,,,1925-07-09,M,1973-01-03,1990-10-28,Democrat,,rep,OH,1,L000508,00713,406994
Donald,Edgar,Lukens,,,1931-02-11,M,1967-01-10,1990-10-28,Republican,,rep,OH,8,L000509,00715,406995
Lynn,Morley,Martin,,,1939-12-26,,1981-01-05,1990-10-28,Republican,,rep,IL,16,M000195,00742,407215
Spark,Masayuki,Matsunaga,,,1916-10-08,,1963-01-09,1990-10-28,Democrat,1,sen,HI,,M000250,00749,407268
Howard,Morton,Metzenbaum,,,1917-06-04,M,1974-01-01,1994-12-01,Democrat,1,sen,OH,,M000678,01400,407663
George,John,Mitchell,,,1933-08-20,M,1980-01-01,1994-12-01,Democrat,1,sen,ME,,M000811,01401,407786
Bruce,Andrew,Morrison,,,1944-10-08,,1983-01-03,1990-10-28,Democrat,,rep,CT,3,M000992,00835,407960
Howard,Curtis,Nielson,,,1924-09-12,M,1983-01-03,1990-10-28,Republican,,rep,UT,3,N000106,00865,408190
Stanford,E.,Parris,,,1929-09-09,,1973-01-03,1990-10-28,Republican,,rep,VA,8,P000080,00890,408490
Charles,,Pashayan,Jr.,,1941-03-27,M,1979-01-15,1990-10-28,Republican,,rep,CA,17,P000097,00891,408506
Donald,Wayne,Riegle,Jr.,,1938-02-04,M,1967-01-10,1994-12-01,Democrat,1,sen,MI,,R000249,00961,409225
Tommy,Franklin,Robinson,,,1942-03-07,,1985-01-03,1990-10-28,Republican,,rep,AR,2,R000354,00971,409325
John,,Rowland,,,1957-05-24,M,1985-01-03,1990-10-28,Republican,,rep,CT,5,R000482,00994,409443
Patricia,Fukuda,Saiki,,,1930-05-28,,1987-01-06,1990-10-28,Republican,,rep,HI,1,S000014,01008,409534
James,Ralph,Sasser,,,1936-09-30,M,1977-01-04,1994-12-01,Democrat,1,sen,TN,,S000068,01428,409580
Claudine,,Schneider,,,1947-03-25,,1981-01-05,1990-10-28,Republican,,rep,RI,2,S000136,01032,409644
Bill,,Schuette,,,1953-10-13,,1985-01-03,1990-10-28,Republican,,rep,MI,10,S000143,01034,409651
Norman,David,Shumway,,,1934-07-28,,1979-01-15,1990-10-28,Republican,,rep,CA,14,S000393,01054,409887
Dennis,Alan,Smith,,Denny,1938-01-19,,1981-01-05,1990-10-28,Republican,,rep,OR,5,S000527,01072,410010
Peter,P.,Smith,,,1945-10-31,M,1989-01-03,1990-10-28,Republican,,rep,VT,0,S000601,01081,410079
Virginia,Dodd,Smith,,,1911-06-30,,1975-01-14,1990-10-28,Republican,,rep,NE,3,S000622,01084,410097
Arlan,Ingehart,Stangeland,,,1930-02-08,,1977-01-04,1990-10-28,Republican,,rep,MN,7,S000795,01098,410261
Thomas,Joseph,Tauke,,,1950-10-11,M,1979-01-15,1990-10-28,Republican,,rep,IA,2,T000053,01139,410641
Douglas,,Walgren,,,1940-12-28,,1977-01-04,1990-10-28,Democrat,,rep,PA,18,W000044,01195,411224
Malcolm,,Wallop,,,1933-02-27,,1977-01-04,1994-12-01,Republican,1,sen,WY,,W000092,01451,411271
Robert,Russell,Whittaker,,,1939-09-18,M,1979-01-15,1990-10-28,Republican,,rep,KS,5,W000426,01224,411585
Pete,,Wilson,,,1933-08-23,,1983-01-03,1991-12-31,Republican,1,sen,CA,,W000607,01456,411762
William,Vollie,Alexander,Jr.,Bill,1934-01-16,M,1969-01-03,1992-10-09,Democrat,,rep,AR,1,A000103,00010,400761
Glenn,Malcolm,Anderson,,,1913-02-21,,1969-01-03,1992-10-09,Democrat,,rep,CA,32,A000189,00016,400844
Frank,,Annunzio,,,1915-01-12,M,1965-01-04,1992-10-09,Democrat,,rep,IL,11,A000212,00023,400895
Beryl,Franklin,Anthony,Jr.,,1938-02-21,,1979-01-15,1992-10-09,Democrat,,rep,AR,4,A000213,00024,400898
Chester,Greenough,Atkins,,,1948-04-14,M,1985-01-03,1992-10-09,Democrat,,rep,MA,5,A000226,00034,400975
Les,,AuCoin,,,1942-10-21,,1975-01-14,1992-10-09,Democrat,,rep,OR,1,A000337,00036,400987
Druie,Douglas,Barnard,Jr.,,1922-03-20,,1977-01-04,1992-10-09,Democrat,,rep,GA,10,B000153,00054,401155
Harry,Stephen,Bartlett,,Steve,1947-09-19,M,1983-01-03,1991-03-11,Republican,,rep,TX,3,B000204,00061,401203
Charles,Edward,Bennett,,,1910-12-02,M,1949-01-03,1992-10-09,Democrat,,rep,FL,3,B000371,00077,401363
Ben,Garrido,Blaz,,,1928-02-14,,1985-01-03,1992-10-09,Republican,,rep,GU,0,B000551,00096,401526
David,Lyle,Boren,,,1941-04-21,M,1979-01-15,1994-12-01,Democrat,2,sen,OK,,B000639,01287,401604
William,Warren,Bradley,,Bill,1943-07-28,M,1979-01-15,1996-10-04,Democrat,2,sen,NJ,,B001225,01289,401709
William,S.,Broomfield,,,1922-04-28,M,1957-01-03,1992-10-09,Republican,,rep,MI,18,B000890,00128,401847
George,Hanks,Brown,,Hank,1940-02-12,M,1981-01-05,1996-10-04,Republican,2,sen,CO,,B000919,00135,401874
Terry,Lee,Bruce,,,1944-03-25,,1985-01-03,1992-10-09,Democrat,,rep,IL,19,B000971,00140,401923
Albert,Garza,Bustamante,,,1935-04-08,M,1985-01-03,1992-10-09,Democrat,,rep,TX,23,B001172,00158,402114
Beverly,Barton Butcher,Byron,,,1932-07-27,,1979-01-15,1992-10-09,Democrat,,rep,MD,6,B001220,00162,402159
Rodney,Dennis,Chandler,,,1942-07-13,,1983-01-03,1992-10-09,Republican,,rep,WA,8,C000293,00189,402435
William,Sebastian,Cohen,,,1940-08-28,M,1973-01-03,1996-10-04,Republican,2,sen,ME,,C000598,00215,402727
Earl,Thomas,Coleman,,,1943-05-29,M,1975-01-14,1992-10-09,Republican,,rep,MO,6,C000618,00216,402747
Antonio,J.,Colorado,,,1939-09-08,,1991-01-03,1992-10-09,Democrat,,rep,PR,0,C000646,00223,402774
Silvio,Ottavio,Conte,,,1921-11-09,,1959-01-07,1991-02-08,Republican,,rep,MA,1,C000709,00228,402833
Robert,Lawrence,Coughlin,,,1929-04-11,M,1969-01-03,1992-10-09,Republican,,rep,PA,13,C000807,00240,402926
John,W.,Cox,Jr.,,1947-07-10,M,1991-01-03,1992-10-09,Democrat,,rep,IL,16,C000836,00243,402953
William,Edwin,Dannemeyer,,,1929-09-22,M,1979-01-15,1992-10-09,Republican,,rep,CA,39,D000044,00264,403184
Robert,William,Davis,,,1932-07-31,M,1979-01-15,1992-10-09,Republican,,rep,MI,11,D000131,00273,403266
William,Louis,Dickinson,,,1925-06-05,M,1965-01-04,1992-10-09,Republican,,rep,AL,2,D000326,00296,403446
Brian,Joseph,Donnelly,,,1946-03-02,,1979-01-15,1992-10-09,Democrat,,rep,MA,11,D000416,00304,403529
Thomas,Joseph,Downey,,,1949-01-28,M,1975-01-14,1992-10-09,Democrat,,rep,NY,2,D000471,00314,403581
Bernard,James,Dwyer,,,1921-01-24,,1981-01-05,1992-10-09,Democrat,,rep,NJ,6,D000586,00327,403689
Mervyn,Malcolm,Dymally,,,1926-05-12,,1981-01-05,1992-10-09,Democrat,,rep,CA,31,D000592,00328,403695
Joseph,Daniel,Early,,,1933-01-31,M,1975-01-14,1992-10-09,Democrat,,rep,MA,3,E000013,00330,403709
Dennis,Edward,Eckart,,,1950-04-06,,1981-01-05,1992-10-09,Democrat,,rep,OH,11,E000031,00331,403726
Marvin,Henry,Edwards,,Mickey,1937-07-12,,1977-01-04,1992-10-09,Republican,,rep,OK,5,E000077,00338,403769
Ben,,Erdreich,,,1938-12-09,,1983-01-03,1992-10-09,Democrat,,rep,AL,6,E000201,00350,403888
J.,James,Exon,,,1921-08-09,,1979-01-15,1996-10-04,Democrat,2,sen,NE,,E000284,01328,403962
Dante,Bruno,Fascell,,,1917-03-09,,1955-01-05,1992-10-09,Democrat,,rep,FL,19,F000041,00370,404002
Edward,Farrell,Feighan,,,1947-10-22,M,1983-01-03,1992-10-09,Democrat,,rep,OH,19,F000059,00375,404019
Jaime,B.,Fuster,,,1941-01-12,,1985-01-03,1992-10-09,Democrat,,rep,PR,0,F000435,00424,404376
Joseph,Matthew,Gaydos,,,1926-07-03,M,1967-01-10,1992-10-09,Democrat,,rep,PA,20,G000105,00430,404477
Albert,Arnold,Gore,Jr.,,1948-03-31,M,1977-01-04,1993-12-31,Democrat,2,sen,TN,,G000321,00449,404679
William,Herbert,Gray,III,,1941-08-20,M,1979-01-15,1991-09-11,Democrat,,rep,PA,2,G000402,00460,404752
Sedgwick,William,Green,,Bill,1929-10-16,,1977-01-04,1992-10-09,Republican,,rep,NY,15,G000417,00463,404765
Frank,Joseph,Guarini,Jr.,,1924-08-20,M,1979-01-15,1992-10-09,Democrat,,rep,NJ,14,G000511,00472,404856
John,Paul,Hammerschmidt,,,1922-05-04,M,1967-01-10,1992-10-09,Republican,,rep,AR,3,H000124,00490,405006
Claude,,Harris,Jr.,,1940-06-29,,1987-01-06,1992-10-09,Democrat,,rep,AL,7,H000236,00504,405114
Charles,Floyd,Hatcher,,,1939-07-01,M,1981-01-05,1992-10-09,Democrat,,rep,GA,2,H000340,00514,405209
Mark,Odom,Hatfield,,,1922-07-12,M,1967-01-10,1996-10-04,Republican,2,sen,OR,,H000343,01352,405212
Charles,Arthur,Hayes,,,1918-02-17,M,1983-01-03,1992-10-09,Democrat,,rep,IL,1,H000388,00516,405256
Howell,Thomas,Heflin,,,1921-06-19,,1979-01-15,1996-10-04,Democrat,2,sen,AL,,H000445,01358,405310
Dennis,Mark,Hertel,,,1948-12-07,,1981-01-05,1992-10-09,Democrat,,rep,MI,14,H000547,00534,405409
Clyde,Cecil,Holloway,,,1943-11-28,,1987-01-06,1992-10-09,Republican,,rep,LA,8,H000729,00554,405580
Larry,Jones,Hopkins,,,1933-10-25,,1979-01-15,1992-10-09,Republican,,rep,KY,6,H000776,00557,405626
Joan,Kelly,Horn,,,1936-10-18,,1991-01-03,1992-10-09,Democrat,,rep,MO,2,H000788,00558,405638
Frank,Jefferson,Horton,,,1919-12-12,M,1963-01-09,1992-10-09,Republican,,rep,NY,29,H000797,00560,405646
Carroll,,Hubbard,Jr.,,1937-07-07,,1975-01-14,1992-10-09,Democrat,,rep,KY,1,H000878,00567,405724
Thomas,Jerald,Huckaby,,,1941-07-19,M,1977-01-04,1992-10-09,Democrat,,rep,LA,5,H000901,00569,405747
Andrew,Poysell,Ireland,,Andy,1930-08-23,M,1977-01-04,1992-10-09,Republican,,rep,FL,10,I000029,00585,405887
Craig,T.,James,,,1941-05-05,,1989-01-03,1992-10-09,Republican,,rep,FL,4,J000047,00590,405952
Edgar,Lanier,Jenkins,,Ed,1933-01-04,M,1977-01-04,1992-10-09,Democrat,,rep,GA,9,J000083,00595,405985
John,Bennett,Johnston,Jr.,,1932-06-10,M,1972-01-01,1996-10-04,Democrat,2,sen,LA,,J000189,01373,406084
Ben,,Jones,,,1941-08-30,,1989-01-03,1992-10-09,Democrat,,rep,GA,4,J000211,00607,406106
Walter,Beaman,Jones,Sr.,,1913-08-19,M,1965-01-04,1992-09-15,Democrat,,rep,NC,1,J000256,00611,406148
James,Prather,Jontz,,,1951-12-18,M,1987-01-06,1992-10-09,Democrat,,rep,IN,5,J000265,00613,406157
Nancy,Landon,Kassebaum,,,1932-07-29,,1978-01-01,1996-10-04,Republican,2,sen,KS,,K000017,01375,406188
Joseph,Paul,Kolter,,,1926-09-03,M,1983-01-03,1992-10-09,Democrat,,rep,PA,4,K000307,00646,406461
Peter,Houston,Kostmayer,,,1946-09-27,M,1977-01-04,1992-10-09,Democrat,,rep,PA,8,K000319,00649,406473
Robert,John,Lagomarsino,,,1926-09-04,M,1973-01-03,1992-10-09,Republican,,rep,CA,19,L000020,00658,406530
William,,Lehman,,,1913-10-05,M,1973-01-03,1992-10-09,Democrat,,rep,FL,17,L000226,00680,406730
Norman,Frederick,Lent,,,1931-03-23,,1971-01-21,1992-10-09,Republican-Conservative,,rep,NY,4,L000243,00682,406746
Meldon,Edises,Levine,,,1943-06-07,,1983-01-03,1992-10-09,Democrat,,rep,CA,27,L000264,00684,406765
William,David,Lowery,,,1947-05-02,M,1981-01-05,1992-10-09,Republican,,rep,CA,41,L000479,00708,406968
Charles,J.,Luken,,,1951-07-18,M,1991-01-03,1992-10-09,Democrat,,rep,OH,1,L000507,00714,406993
Edward,Rell,Madigan,,,1936-01-13,M,1973-01-03,1991-03-08,Republican,,rep,IL,15,M000041,00724,407069
Ronald,Charles,Marlenee,,,1935-08-08,,1977-01-04,1992-10-09,Republican,,rep,MT,2,M000139,00737,407162
David,O'Brien,Martin,,,1944-04-26,M,1981-01-05,1992-10-09,Republican,,rep,NY,26,M000174,00739,407196
Nicholas,James,Mavroules,,,1929-11-01,M,1979-01-15,1992-10-09,Democrat,,rep,MA,6,M000264,00751,407282
Bob,,McEwen,,,1950-01-12,,1981-01-05,1992-10-09,Republican,,rep,OH,6,M000432,00768,407432
Raymond,Joseph,McGrath,,,1942-03-27,M,1981-01-05,1992-10-09,Republican,,rep,NY,5,M000458,00771,407457
Matthew,Francis,McHugh,,,1938-12-06,M,1975-01-14,1992-10-09,Democrat,,rep,NY,28,M000473,00774,407471
Charles,Thomas,McMillen,,,1952-05-26,M,1987-01-06,1992-10-09,Democrat,,rep,MD,4,M000573,00783,407564
Clarence,E.,Miller,,,1917-11-01,,1967-01-10,1992-10-09,Republican,,rep,OH,10,M000718,00806,407700
John,Ripin,Miller,,,1938-05-23,M,1985-01-03,1992-10-09,Republican,,rep,WA,1,M000736,00809,407721
Jim,,Moody,,,1935-09-02,,1983-01-03,1992-10-09,Democrat,,rep,WI,5,M000881,00828,407853
Sidney,Wallace,Morrison,,,1933-05-13,,1981-01-05,1992-10-09,Republican,,rep,WA,4,M000999,00836,407967
Robert,Jan,Mrazek,,,1945-11-06,M,1983-01-03,1992-10-09,Democrat,,rep,NY,3,M001057,00840,408023
David,Ray,Nagle,,,1943-04-15,M,1987-01-06,1992-10-09,Democrat,,rep,IA,3,N000003,00851,408097
Richard,,Nichols,,,1926-04-29,M,1991-01-03,1992-10-09,Republican,,rep,KS,5,N000094,00864,408179
Henry,James,Nowak,,,1935-02-21,M,1975-01-14,1992-10-09,Democrat,,rep,NY,33,N000163,00870,408244
Samuel,Augustus,Nunn,,,1938-09-08,M,1972-01-01,1996-10-04,Democrat,2,sen,GA,,N000171,01413,408252
Mary,Rose,Oakar,,,1940-03-05,,1977-01-04,1992-10-09,Democrat,,rep,OH,20,O000001,00875,408313
James,R.,Olin,,,1920-02-28,M,1983-01-03,1992-10-09,Democrat,,rep,VA,6,O000069,00878,408342
Douglas,Wayne,Owens,,,1937-05-02,,1973-01-03,1992-10-09,Democrat,,rep,UT,2,O000156,00884,408407
Elizabeth,J.,Patterson,,,1939-11-18,,1987-01-06,1992-10-09,Democrat,,rep,SC,4,P000112,00897,408520
Donald,James,Pease,,,1931-09-26,M,1977-01-04,1992-10-09,Democrat,,rep,OH,13,P000170,00904,408575
Claiborne,de Borda,Pell,,,1918-11-22,,1961-01-03,1996-10-04,Democrat,2,sen,RI,,P000193,01417,408597
Carl,Christopher,Perkins,,,1954-08-06,M,1983-01-03,1992-10-09,Democrat,,rep,KY,7,P000229,00909,408632
Larry,Lee,Pressler,,,1942-03-29,,1975-01-14,1996-10-04,Republican,2,sen,SD,,P000513,00927,408898
David,Hampton,Pryor,,,1934-08-29,M,1965-01-04,1996-10-04,Democrat,2,sen,AR,,P000556,01420,408939
Carl,Duane,Pursell,,,1932-12-19,M,1977-01-04,1992-10-09,Republican,,rep,MI,2,P000574,00934,408957
Richard,Belmont,Ray,,,1927-02-02,M,1983-01-03,1992-10-09,Democrat,,rep,GA,3,R000080,00948,409060
John,Jacob,Rhodes,III,,1943-09-08,M,1987-01-06,1992-10-09,Republican,,rep,AZ,1,R000189,00956,409165
Matthew,John,Rinaldo,,,1931-09-01,M,1973-01-03,1992-10-09,Republican,,rep,NJ,7,R000262,00963,409237
Donald,Lawrence,Ritter,,,1940-10-21,M,1979-01-15,1992-10-09,Republican,,rep,PA,15,R000277,00965,409251
Robert,A.,Roe,,,1924-02-28,M,1969-01-03,1992-10-09,Democrat,,rep,NJ,8,R000383,00974,409353
Edward,Ross,Roybal,,,1916-02-10,M,1963-01-09,1992-10-09,Democrat,,rep,CA,25,R000485,00996,409446
Martin,Anthony,Russo,,,1944-01-23,M,1975-01-14,1992-10-09,Democrat,,rep,IL,3,R000543,01004,409500
Gus,,Savage,,,1925-10-30,,1981-01-05,1992-10-09,Democrat,,rep,IL,2,S000081,01020,409593
James,Haas,Scheuer,,,1920-02-06,M,1965-01-04,1992-10-09,Democrat-Liberal,,rep,NY,8,S000124,01029,409632
Richard,Taylor,Schulze,,,1929-08-07,M,1975-01-14,1992-10-09,Republican,,rep,PA,5,S000146,01035,409654
John,,Seymour,,,1937-12-03,M,1991-01-03,1992-10-09,Republican,1,sen,CA,,S000269,01434,409770
Gerald,Edward,Sikorski,,,1948-04-26,,1983-01-03,1992-10-09,Democrat,,rep,MN,6,S000407,01057,409901
Paul,Martin,Simon,,,1928-11-29,M,1975-01-14,1996-10-04,Democrat,2,sen,IL,,S000423,01059,409917
Alan,Kooi,Simpson,,,1931-09-02,,1979-01-15,1996-10-04,Republican,2,sen,WY,,S000429,01435,409923
Daniel,French,Slaughter,Jr.,,1925-05-20,M,1985-01-03,1991-11-04,Republican,,rep,VA,7,S000479,01068,409968
Lawrence,Jack,Smith,,,1941-04-25,M,1983-01-03,1992-10-09,Democrat,,rep,FL,16,S000586,01077,410066
Stephen,Joshua,Solarz,,,1940-09-12,M,1975-01-14,1992-10-09,Democrat,,rep,NY,13,S000673,01087,410145
Harley,Orrin,Staggers,Jr.,,1951-02-22,,1983-01-03,1992-10-09,Democrat,,rep,WV,2,S000779,01095,410245
Richard,Howard,Stallings,,,1940-10-07,M,1985-01-03,1992-10-09,Democrat,,rep,ID,2,S000785,01097,410251
Robert,Mooneyhan,Tallon,Jr.,Robin,1946-08-08,M,1983-01-03,1992-10-09,Democrat,,rep,SC,6,T000034,01136,410623
Robert,Lindsay,Thomas,,,1943-11-20,M,1983-01-03,1992-10-09,Democrat,,rep,GA,1,T000184,01150,410765
Jerome,Bob,Traxler,,,1931-07-21,,1973-01-03,1992-10-09,Democrat,,rep,MI,8,T000356,01167,410926
Morris,King,Udall,,,1922-06-15,,1961-01-03,1991-05-04,Democrat,,rep,AZ,2,U000001,01173,411025
Guy,Adrian,Vander Jagt,,,1931-08-26,M,1965-01-04,1992-10-09,Republican,,rep,MI,9,V000027,01180,411119
John,Vincent,Weber,,,1952-07-24,M,1981-01-05,1992-10-09,Republican,,rep,MN,2,W000237,01212,411405
Theodore,S.,Weiss,,,1927-09-17,M,1977-01-04,1992-09-14,Democrat,,rep,NY,17,W000258,01213,411426
Harris,,Wofford,,,1926-04-09,,1991-01-03,1994-12-01,Democrat,1,sen,PA,,W000665,01457,411818
Howard,Eliot,Wolpe,III,,1939-11-03,M,1979-01-15,1992-10-09,Democrat,,rep,MI,3,W000682,01240,411834
Chalmers,Pangburn,Wylie,,,1920-11-23,,1967-01-10,1992-10-09,Republican,,rep,OH,15,W000781,01249,411929
Gus,,Yatron,,,1927-10-16,,1969-01-03,1992-10-09,Democrat,,rep,PA,6,Y000014,01253,411948
Jocelyn,Birch,Burdick,,,1922-02-06,,1992-01-01,1992-10-09,Democrat,1,sen,ND,,B001076,01296,402022
Michael,Allen,Andrews,,,1944-02-07,M,1983-01-03,1994-12-01,Democrat,,rep,TX,25,A000209,00020,400882
Thomas,Hiram,Andrews,,,1953-03-22,M,1991-01-03,1994-12-01,Democrat,,rep,ME,1,A000211,00022,400885
Douglas,Earl,Applegate,,,1928-03-27,,1977-01-04,1994-12-01,Democrat,,rep,OH,18,A000214,00025,400906
Leslie,,Aspin,,,1938-07-21,,1971-01-21,1993-01-20,Democrat,,rep,WI,1,A000224,00033,400967
James,,Bacchus,,,1949-06-21,M,1991-01-03,1994-12-01,Democrat,,rep,FL,15,B000008,00037,401014
Peter,William,Barca,,,1955-08-07,M,1993-01-05,1994-12-01,Democrat,,rep,WI,1,B001226,00051,401134
Thomas,J.,Barlow,III,,1940-08-07,M,1993-01-05,1994-12-01,Democrat,,rep,KY,1,B000151,00053,401153
Helen,Delich,Bentley,,,1923-11-28,,1985-01-03,1994-12-01,Republican,,rep,MD,2,B000392,00078,401383
James,Hubert,Bilbray,,,1938-05-19,M,1987-01-06,1994-12-01,Democrat,,rep,NV,1,B000462,00088,401446
Lucien,Edward,Blackwell,,,1931-08-01,,1991-01-03,1994-12-01,Democrat,,rep,PA,2,B000517,00093,401494
Jack,Bascom,Brooks,,,1922-12-18,,1953-01-03,1994-12-01,Democrat,,rep,TX,9,B000880,00127,401837
Dale,,Bumpers,,,1925-08-12,,1975-01-14,1998-12-19,Democrat,3,sen,AR,,B001057,01295,402004
Leslie,Larkin,Byrne,,,1946-10-27,,1993-01-05,1994-12-01,Democrat,,rep,VA,11,B001213,00161,402152
Milton,Robert,Carr,,Bob,1943-03-27,M,1975-01-14,1994-12-01,Democrat,,rep,MI,8,C000178,00180,402325
Samuel,G.,Coppersmith,,,1955-05-22,M,1993-01-05,1994-12-01,Democrat,,rep,AZ,1,C000767,00232,402890
Alfonse,Marcello,D'Amato,,,1937-08-01,,1981-01-05,1998-12-19,Republican,3,sen,NY,,D000018,01313,403142
George,,Darden,,Buddy,1943-11-22,M,1983-01-03,1994-12-01,Democrat,,rep,GA,7,D000051,00266,403190
Butler,Carson,Derrick,Jr.,,1936-09-30,,1975-01-14,1994-12-01,Democrat,,rep,SC,3,D000267,00289,403403
Robert,Joseph,Dole,,,1923-07-22,M,1961-01-03,1996-10-04,Republican,3,sen,KS,,D000401,01318,403515
William,Donlon,Edwards,,Don,1915-01-06,M,1963-01-09,1994-12-01,Democrat,,rep,CA,16,E000064,00336,403776
Glenn,Lee,English,Jr.,,1940-11-30,,1975-01-14,1994-01-07,Democrat,,rep,OK,6,E000184,00345,403873
Karan,,English,,,1949-03-23,,1993-01-05,1994-12-01,Democrat,,rep,AZ,6,E000186,00346,403875
Albert,Michael,Espy,,,1953-11-30,M,1987-01-06,1993-01-22,Democrat,,rep,MS,2,E000218,00356,403904
Duncan,McLauchlin,Faircloth,,Lauch,1928-01-14,,1993-01-05,1998-12-19,Republican,3,sen,NC,,F000437,01329,403968
Eric,D.,Fingerhut,,,1959-05-06,,1993-01-05,1994-12-01,Democrat,,rep,OH,19,F000128,00383,404083
Hamilton,,Fish,Jr.,,1926-06-03,,1969-01-03,1994-12-01,Republican,,rep,NY,19,F000141,00384,404097
