Incident No.,Reported Date,Reported Time,Category,Building/ Site Name,Incident Summary,Incident Status
1-2013-002511,09/06/2013,5:00 PM,Larceny,King Juan Carlos Center,"On time and date of report, an alum states that between 4pm and 4:30pm on date of report, her bicycle valued at $300 was taken from infront of the building. NYPD notified and a police report was filed.",Closed/No Identifiable Suspect
1-2013-002516,09/06/2013,11:20 PM,Larceny,Bobst Library,"on time and date of report, a student states that between 11pm and 11:15pm on date of report, his Mac laptop computer valued at $1,200 was taken from a location on the LL2 level while the property was left unattended. NYPD notified and a police report was filed.",Open/Under Investigation
1-2013-002524,09/07/2013,7:40 PM,Controlled Substance,Coral Towers,"On time and date of report, Public Safety assisted residence life staff with the confiscation of drug paraphernalia from a student's room.",Closed/Referred to University Judicial
1-2013-002527,09/08/2013,1:15 AM,Controlled Substance,University Hall,"On time and date of report, Public Safety assisted residence life staff with the confiscation of marijuana from a student's room.",Closed/Referred to University Judicial
1-2013-002528,09/08/2013,7:56 AM,Harassment/Trespass,Gramercy Green,"On the September 7th at approximately 8:35pm, tow non affiliated NYU males entered the building, and harassed various students and the Public Safety officer in the lobby. NYPD was notified but the two males left prior to their arrival.",Closed/No Further Action
1-2013-002529,09/08/2013,3:59 AM,Controlled Substance,Third Avenue North Residence,"On time and date of report, Public Safety assisted residence life staff with the confiscation of marijuana from a student's room.",Closed/Referred to University Judicial
1-2013-002542,09/09/2013,7:05 PM,Menacing with Weapon,On Campus,"On time and date of report, Public Safety was apprised by a student that a few minutes prior to making this report, another student known to the department brandished a knife during an argument both parties were involved in while on the sidewalk in front of 244 Greene Street. NYPD notified and a police report was filed",Closed/Referred to NYPD & University Judicial
1-2013-002548,09/10/2013,8:15 PM,Larceny,On Campus,"On time and date of report, a student states that between 11:30pm September 9th and time/date of report, his bicycle which was chained to a sign on the sidewalk in front of Bobst Library was taken. Declined police notification.",Closed/No Identifiable Suspect
1-2013-002554,09/10/2013,4:45 PM,Harassment,On Campus,"On time and date of report, a staff member states that a student informed her of being physically harassed by an unidentified individual at 3pm on the sidewalk infront of 1 Washington Place on date of report. Staff member declined to furnish any additional information to Public Safety",Closed/Uncooperative Complainant
1-2013-002556,09/10/2013,2:00 PM,Larceny,Tisch Hall,"On time and date of report, a student states that her backpack containing a text book and other academic related paraphernalia was taken from a classroom on the lower level while left unattended between 1pm and time/date of report. Declined police notification.",Open/Under Investigation
1-2013-002558,09/10/2013,7:20 PM,Harassment,Starbucks on the Square,"On time and date of reprt, Public Safety was apprised of a physical harassment between two patrons; both non NYU affiliated. NYPD notified and responded to take a report.",Closed/Referred to NYPD
1-2013-002562,09/10/2013,7:25 PM,Larceny,Palladium Hall,"On time and date of report, NYPD entered the building responding to a call. It was determined that a student had been the victim of a fraudulent act where she was called by a person she was unfamiliar with and threatened with arrest if she did not pay $2,000. The student paid a portion of the amount and then realized this was a fraud.",Closed/Referred to NYPD
1-2013-002563,09/10/2013,9:30 PM,Larceny,Off Campus,"On time and date of report, a student states that between 9:15pm on August 9th and 8:30pm on date of report, her bicycle valued at $190 was removed from a street sign infront of the 2nd street dormitory that she had secured it to. NYPD notified and a police report was filed.",Closed/No Identifiable Suspect
1-2013-002571,09/11/2013,11:15 AM,Larceny,Third Avenue North Residence Hall,"On time and date of report, a student states that between 10am and 1pm on September 3rd, his skateboard valued at $110 had been taken while the property was left unattended. Declined police notification.",Open/Under Investigation
1-2013-002578,09/11/2013,2:00 PM,Larceny,721 Broadway,"On time and date of report, an administrator states that betwen 9am September 5th and 1pm on date of report, a case of copy paper with an undetermined value was taken from a 12th floor room. Declined police notification at this time.",Open/Under Investigation
1-2013-002585,09/11/2013,8:50 PM,Larceny,Tisch Hall Bicycle Rack,"On time and date of report, a spouse of a faculty member states that between 1pm September 10th and 10am September 11th, a bicycle valued at $850 was taken from the location. NYPD notified and a police report was filed.",Open/Under Investigation
1-2013-002587,09/11/2013,9:45 PM,Larceny,Kimmel Center for University Life,"On time and date of report, a student states that between 7pm and 9pm on date of report, her backpack containing textbooks valued at $200 was taken while left unattended of a room on the 9th floor. Declined police notification.",Open/Under Investigation
1-2013-002588,09/11/2013,9:45 PM,Larceny,Kimmel Center for University Life,"On time and date of report, a student states that between 8pm and 8:30pm on date of report, her backpack containing cash, debit card and personal effexts was taken while it was left outside a room on the 9th floor. At 10pm, the backpack was found on the sidewalk outside Hayden Hall minus the property. NYPD notified and a police report was filed.",Open/Under Investigation
1-2013-002589,09/11/2013,9:15 PM,Controlled Substance,Hayden Hall,"On time and date of report, Public Safety assisted residence life staff with the confiscation of marijuana from a student's room",Closed/Referred to University Judicial
1-2013-002591,09/11/2013,11:40 PM,Larceny,Alumni Hall,"On time and date of report, a laptop computer allegedly stolen was returned to the Public Safety officer assigned to the building by an unidentified male. Property returned to owner.",Closed/Property Recovered
1-2013-002592,09/12/2013,12:30 AM,Controlled Substance,80 Lafayette Street,"On time and date of report, Public Safety assisted residence life staff with the confiscation of marijuana from a student's room.",Closed/Referred to University Judicial
1-2013-002597,09/12/2013,9:15 AM,Harassment,Henry Kaufman Management Center,"On time and date of report, an administrator states that between 9am September 10th and 9am on date of report, she received ten unwanted/troubling phone calls from a person that she recently met. Declined police notification.",Open/Under Investigation
1-2013-002604,09/12/2013,3:11 PM,Larceny,Silver Building,"On time and date of report, a student states that between 8:20am and 9:30am on date of report, her I-phone of undetermined value was taken from her backpack somewhere in the building. Declined police notification.",Open/Under Investigation
1-2013-002605,09/12/2013,3:27 PM,Larceny,Silver Center,"on time and date of report, a student states that between 1:40pm and 1:50pm on date of report, her I-phone valued at $300 was taken from her backpack somewhere in the building. NYPD notified and a police report was filed.",Open/Under Investigation
1-2013-002606,09/12/2013,5:33 PM,Larceny,Hayden Hall,"On time and date of report, an Aramark manager reports that on September 11th at approximately 6pm, an unidentified male entered the dining hall, did not leave his NYU ID card at the cashier as required and walked out with a loaf of bread. When confronted, the individual refused to return the bread and left the building.",Open/Under Investigation
1-2013-002615,09/13/2013,11:38 AM,Harassment,NYU Florence,"On time and date of report, Public Safety was apprised of a student feeling threatened by another student. Administrative staff involved and is in the process of resolving the issues.",Closed/Referred to Appropriate Department
1-2013-002616,09/13/2013,11:15 AM,Larceny,726 Broadway/NYU Bookstore,"On time and date, Public Safety was apprised by a studnet that a $22 charge occurring on September 9th against her campus cash account was noticed. Student states her ID card was in her possession at the time of the charge.",Open/Under Investigation
1-2013-002617,09/13/2013,11:05 AM,Larceny,23 West 4th Street,"On time and date of re report, a student states that between 1:30pm and 1:45pm on September 12th, he had left his cell phone, cash, NYU ID and metro card on top of a counter in the hallway on the 4th floor. Upon his return, the cash, ID and metro card were missing. Declined police notification.",Open/Under Investigation
1-2013-002620,09/13/2013,2:00 PM,Larceny,285 Mercer Street,"On time and date of report, a staff member states that between 12:30pm and 2:30pm on September 12th, her wallet containing credit cards, prescription medicine and personal identification was taken from a room on the 6th floor. NYPD notified and a police report was filed.",Open/Under Investigation
1-2013-002624,09/13/2013,8:55 PM,Larceny,Tisch Hall,"On time and date of report, a studnet states that between 5pm and 8:50pm on date of report, his umbrella of undetermined value was taken from a location on the 1st floor while it was left unattended. Declined police notification.",Open/Under Investigation
1-2013-002642,09/14/2013,6:30 PM,Larceny (reclassified as missing property/recovered),Third Avenue North Residence Hall,"On time and date of report, a student states that between 5:15pm and 5:30pm on date of report, clothing of undetermined value that she had left in the laundry room was taken. Declined police notification. NOTE: Student reports property was returned to laundry room and believes another student mistakenly took property.",Closed/Property Recovered
1-2013-002643,09/14/2013,7:20 PM,Larceny (Reclassified as missing property/recovered),Bobst Library,"On time and date of report, a student states that between 5pm on September 13th and time/date of report, a grey NIKE bag of undetermined value was taken from a location on the 8th floor while it had been left unattended. Declined police notification. NOTE: Student reports he had left the bag at a friends apartment prior to going to library.",Closed/Property Recovered
1-2013-002646,09/15/2013,4:00 PM,Larceny,Coles Sports Center,"On time and date of report, a student states that between 3:30pm and time/date of report, his I-phone of undetermined value was taken from the bleecher section as he was playing basketball. Declined police notification at this time.",Open/Under Investigation
1-2013-002649,09/15/2013,10:35 PM,Larceny,Starbucks on the Square,"On time and date of report, a student states that between 8:35pm and 8:45pm on date of report, her I-phone of undetermined value and NYU ID card were taken while she was sitting at a table. Complainantr believes theft occurred as an unidentified male was soliciting funds for the homeless. NYPD notified and a police report was filed.",Open/Under Investigation
1-2013-002651,09/15/2013,11:05 PM,Controlled Substance,Third Avenue North Residence,"On time and date of report, Public Safety assisted residence life staff with the confiscation of marijuana from a student's room.",Closed/Referred to University Judicial
1-2013-002656,09/16/2013,10:12 AM,Assault,NYU Florence,"On time and date of report, Public Safety was apprised of a fight between two students at approximately 3:15am on September 14th in a residence which resulted in minor injuries to one student.",Closed/Referred to Appropriate Department
1-2013-002664,09/16/2013,3:00 PM,Larceny (reclassified as missing property/recovered),715 Broadway,"On time and date of report, a staff member states that between August 27th and time/date of report, a Mac laptop computer valued at $1,400 was taken from a room on the 3rd floor. NYPD notified and a police report was filed. NOTE: On September 24th, the complainant indicated the laptop was returned to him by a co-worker who had safeguarded the property.",Closed/Property Recovered
1-2013-002667,09/16/2013,5:45 PM,Larceny,Hayden Hall,"On time and date of report, a student states that between 12:30am and 8:30am on date of report, clothing with a value of $350 was taken from the laundry room while the property was left unattended. Declined police notification.",Open/Under Investigation
1-2013-002670,09/16/2013,6:10 PM,Larceny,721 Broadway/Waverly Place Bicycle Rack,"On time and date of report, a student states that between 9:25am and 5:40pm on date of report, his bicycle valued at $200 was taken from the location.Declined police notification.",Open/Under Investigation
1-2013-002681,09/17/2013,12:10 PM,Larceny,721 Broadway/Waverly Place Bicycle rack,"On time and date of report, a student states that between 9am and 12:05pm on date of report, his bicycle valued at $400 was taken from the location. Complainant did not stay for responding NYPD personnel.",Open/Under Investigation
1-2013-002682,09/17/2013,11:50 AM,Larceny,Bobst Library,"On time and date of report, a student states that between 11:30am and time/date of report, her Mac laptop computer valued at $1,300 was taken from a location on the LL2 level while the property was left unattended. NYPD notified and a police report was filed.",Open/Under Investigation
1-2013-002683,09/17/2013,12:55 PM,Larceny,726 Broadway,"On time and date of report, a staff member states that between September 13th and September 16th, her laptop computer valued at $1,175 was taken from her cubicle on the 2nd floor. NYPD notified and a police report was filed.",Open/Under Investigation
1-2013-002686,09/17/2013,4:15 PM,Larceny,Henry Kaufman Management Center,"On time and date of report, a student states that between 8:50am and 12:15pm on date of report, her laptop computer valued at $500 was taken from a secured locker on the 4th floor. There was no visible indication of tampering to the lock or locker. Declined police notification.",Open/Under Investigation
1-2013-002688,09/17/2013,10:05 PM,Larceny,On Campus,"On time and date of report, a student states that beween 3pm and 9:35pm on date of report, his secured bicycle valued at $700 was taken from the scaffolding infront of 726 Broadway. NYPD notified and a police report was filed.",Open/Under Investigation
1-2013-002690,09/17/2013,11:35 PM,Larceny,On Campus,"On time and date of report, a student states that between 4:55pm and 10:10pm on date of report, NYU bike share bicycle #11 was taken from a bike rack located on the northwest corner of Broadway and Waverly Place. NYPD notified and a police report was filed.",Closed/No Identifiable Suspect
1-2013-002691,09/17/2013,11:05 PM,Controlled Substance,Third Avenue North Residence,"On time and date of report, Public Safety assisted residence life with the confiscation of marijuana from a student's room.",Closed/Referred to University Judicial
1-2013-002702,09/18/2013,8:35 PM,Larceny,Palladium/Gymnasium,"On timer and date of report, a student states that between 5pm and 5:15pm on date of report, a knapsack with a debit card, personal identification and effects was taken from an unlocked locker on the C-1 level. Declined police notification at this time.",Open/Under Investigation
1-2013-002704,09/19/2013,12:00 AM,Larceny,Rubin Residence Hall,"On time and date of report, a student states that a delivery of a small refrigerator he was expecting on August 27th was not signed for. The delivery company indicated it was dropped off.",Open/Under Investigation
1-2013-002707,09/19/2013,8:15 AM,Larceny,715 Broadway,"On time and date of report, a student states that between 8:45pm and 9pm on September 18th, his Mac laptop computer valued at $1,100 was taken from a classroom on the 6th floor. Declined police notification.",Open/Under Investigation
1-2013-002714,09/19/2013,7:00 PM,Larceny,Bobst Library,"On time and date of report, a student states that between 6:55pm and 7pm, his Mac laptop computer valued at $1,500 was taken from a location on the 7th floor while the property was left unattended. NYPD notified and a police report was filed.",Open/Under Investigation
1-2013-002716,09/20/2013,1:00 AM,Controlled Substance,80 Lafayette Street,"On time and date of report, Public Safety assisted residence life staff with the confiscation of marijuana from a student's room.",Open/Under Investigation
1-2013-002738,09/21/2013,2:00 PM,Larceny,Palladium Hall/Gymnasium,"On time and date of report, a student states that when he returned to his secured locker at 1:40pm on date of report, his I-phone of undetermined value, various debit cards and personal identification was missing. The lock was still locked and there was no visible indication of tampering. Declined police notification.",Open/Under Investigation
1-2013-002379,09/21/2013,3:15 PM,Larceny,Vanderbilt Hall,"On time and date of report, a student states that between 8am on September 20th and time/date of report, his bicycle valued at $250 was taken from the bike rack in the courtyard. Declined police notification at this time.",Open/Under Investigation
1-2013-002740,09/21/2013,4:10 PM,Larceny,Rubin Hall,"On time and date of report, a student states that between 3pm and 3:35pm on date of report, clothing of undetermined value was taken from the laundry room. Declined police notification.",Open/Under Investigation
1-2013-002749,09/22/2013,7:45 PM,Harassment,Off Campus,"On time and date of report, Public Safety was apprised that an unidentified male yelled racial slurs at two students on the corner of 23rd Street and 3rd Avenue. Declined police notification.",Closed/No Further Action
1-2013-002751,09/22/2013,9:25 PM,Criminal Mischief,Brittany Residence Hall,"On time and date of report, a staff member reports that several potted plants were distroyed in his apartment when he returned to location a few minutes prior to making the report. No property was missing. Declined police notification.",Open Investigation
1-2013-002758,09/23/2013,4:00 PM,Trespass,Alumni Hall,"On time and date of report, Publ;ic Safety was apprised of a delivery person from a local Chinese restaurant handing out flyers within the building without permission or authority. Individual was escorted out of the building by a member of residence life.",Closed/No Further Action
1-2013-002767,09/23/2013,8:35 PM,Larceny,Tisch Hall Bicycle Rack,"On time and date of report, a student states that between 10am and 8:30pm on date of report, her bicycle valued at $200 was removed from the location. Declined police notification at this time.",Open/Under Investigation
1-2013-002768,09/23/2013,10:13 PM,Larceny,Tisch Hall Bicycle Rack,"On time and date of report, a student states that between 12am and 8:03pm on date of report, his bicycle valued between $200-$500 was removed from the location. Declined police notification",Open/Under Investigation
1-2013-002771,09/23/2013,9:25 PM,Larceny,Bobst Library,"On time and date of report, a student states that between 8:15pm and 9pm on date of report, her Mc laptop computer valued at $1,300 was taken from a 3rd floor location while she left it unattended. NYPD notified and a police report was filed.",Open/Under Investigation
1-2013-002166,08/01/2013,9:40 AM,Burglary,721 Broadway,"On time and date of report, a staff member states that between June 26th and July 8th, a Mac laptop valued at $1,949 was taken from an office on the 7th floor along with a $79 external drive. No other property was reported missing. NYPD notified and a polcie report was filed.",Open/Under Investigation
1-2013-002182,08/02/2013,7:00 PM,Larceny,18 Washington Place,"On time and date of report, a staff member states that between 12noon and 7pm on July 26th, her American Express card was taken from a room on the 2nd floor. Declined police notification.",Open/Under Investigation
1-2013-002183,08/02/2013,8:50 PM,Larceny,Tisch Hall,"On time and date of report, a student states that between 12noon and 4pm on date of report, his Mac laptop of undetermined value was taken from his backpack which was left unattended in a lounge on the 3rd floor. Declined police notification.",Open/Under Investigation
1-2013-002198,08/05/2013,2:35 PM,Larceny,Bobst Library,"On time and date of report, a graduate student states that between 2:25pm and 2:30pm on date of report, his sunglasses valued at $400 were taken from the lounge on the 6th floor after he had left them unattended. Declined police notification.",Open/Under Investigation
1-2013-002199,08/05/2013,4:30 PM,Larceny,Kriser Dental Center,"On time and date of report, a student states that between 8:30pm and 9:30pm on July 29th, her smart phone valued at $700 was taken from a 3rd floor clinic where she had left it. Declined police notification at this time.",Open/Under Investigation
1-2013-002203,08/06/2013,11:00 AM,Harassment,Pless Hall,"On time and date of report, a student states that as she was passing the building, a contractor exiting the location made several remarks in Spanish which she felt were demeaning and harassing.",Closed/Referred to Appropriate Department
1-2013-002208,08/06/2013,5:00 PM,Larceny,Bobst Library,"On time and date of report, a student states that between 3pm and 3:05pm on date of report, his wallet contaning personal identification which was left inadvertently at the circulation desk could not be located. Declined police notification.",Closed/No Identifiable Suspects
1-2013-002212,08/07/2013,4:50 PM,Larceny,Bobst Library,"On time and date of report, a student states that betwen 5:45pm and 6pm on August 6th, her Mac laptop valued at $1,500 was taken from a location on the 2nd floor while the property was left unattended. NYPD notified and a police report was filed.",Open/Under Investigation
1-2013-002215,08/08/2013,9:35 AM,Larceny,Vanderbilt Hall,"On time and date of report, a faculty member states that on three occassions since July 22nd, items were taken from his bicycle while secured in the courtyard. Declined police notification.",Open/Under Investigation
1-2013-002220,08/08/2013,1:55 PM,Public Lewdness,Warren Weaver Hall,"On time and date of report, a staff member states that he observed an unidentified male exposing himself on the Mercer Street plaza. Public Safety responded and the individual was gone upon arrival.",Closed/No Identifiable Suspect
1-2013-002222,08/08/2013,8:45 PM,Harassment,On Campus,"On time and date of report, a student states that 5 minutes prior to making this report, an unidentified male approached her on the corner of Mercer Street and West 4th Street, an without provocation, pushed her to the ground. Public Safety canvassed the area and could not locate the individual. Declined police notification.",Closed/No Identifiable Suspect
1-2013-002223,08/08/2013,11:00 PM,Controlled Substance,Founders Hall/12th Street Residence,"On time and date of report, Public Safety assisted residence life staff with the confiscation of marijuana from a student's room.",Closed/Referred to University Judicial
1-2013-002233,08/10/2013,11:15 AM,Larceny,Tisch Hall,"On time and date of report, a student states that between 5am and 10:30am on date of report, his wallet containing personal identification, and other items was taken while he was sleeping in the 3rd floor lounge. Declined police notification.",Open/Under Investigation
1-2013-002242,08/12/2013,5:52 PM,Larceny,Starbucks on the Square,"On time and date of report, a non NYU affiliated individual states that at approximately 2:45pm on date of report, his backpack was taken from a table while it was left unattended. Complainant filed a police report prior to notifying NYU Public Safety.",Open/Under Investigation
1-2013-002250,08/13/2013,12:20 PM,Larceny,Silver Center,"On time and date of report, a staff member states that as she was opening the door to the building on Waverly Place, an unidentified male took her smart phone of undetermined value and fled north on University Avenue. NYPD was immediately notified and canvassed the area with negative results.",Cllosed/No Identifable Suspect
1-2013-002251,08/13/2013,1:00 PM,Larceny (reclassified as missing property/recovered),Bobst Library,"On time and date of report, a student states that between 11am and 1pm on date of report, his I-phone valued at $700 was taken from his jacket which was left unattended in an area on the lower level. Declined police notification. NOTE: Complainant reported to Public Safety that he located his phone",Closed/Unfounded
1-2013-002252,08/13/2013,7:45 PM,Attempted Burglary,Kimmel Center for University Life,"On time and date of report, a staff member states that at approximately 6:38pm on date of report, he observed an unidentified, unknown male attempt to remove the connections to a computer hard drive to a computer in a room on the 6th floor. The person fled when confronted.",Open/Under Investigation
1-2013-002265,08/15/2013,11:05 AM,Larceny,Bobst Library,"On time and date of report, a student states that between 11:50am and 12:02pm on August 14th her i-Phone 5 valued at $300 was taken from a desk in the Graduate Study Area on the 6th floor while she left it unattended to use the restroom. NYPD notified and a police report was filed.",Open/Under Investigation
1-2013-002273,08/16/2013,1:45 PM,Assault,NYU Shanghai,"On time and date of report, a student at NYU Shanghai states that as he was entering the campus at 12 noon, a homeless person threw a brick at him causing a laceration to his leg. Declined police notification.",Closed/No Identifiable Suspect
1-2013-002276,08/16/2013,11:14 AM,Larceny,726 Broadway/NYU Bookstore,"On time and date of report, an NYU Loss Prevention Specialist observed a non NYU affiliated individual remove a bag from a display rack, stuff it with miscellaneous clothing items with a total value of $138.80 and attempt to leave the store without paying. Detained and arrested by NYPD.",Closed/Arrest Involved
1-2013-002286,08/19/2013,12:20 PM,Larceny,Wilf Hall,"On time and date of report, a staff member states that between 12:30pm and 6:25pm on August 16th, her I-phone of undetermined value was taken from on top of her desk while it was left unattedned. Declined police notification.",Open/Under Investigation
1-2013-002287,08/19/2013,3:15 PM,Larceny,14 Washington Place/NYU Computer Bookstore,"On time and date of report, a non NYU affilated individual cancealed two speaker systems valued at $470 and attempted to leave the premises without paying for the merchandise. Individual was detained and NYPD was notified who placed him under arrest.",Closed/Arrest Involved
1-2013-002288,08/19/2013,12:25 PM,Larceny,Kimmel Center for University Life,"On time and date of report, a staff member states that between May 23rd and date of report, 16 Mac laptops valued at $800 each were taken from a cabinet in a lab on the 4th floor. The cabinets had been locked and there was no visible indication of tampering of the locks. NYPD notified and a police report was filed.",Open/Under Investigation
1-2013-002291,08/19/2013,6:50 PM,Controlled Substance,Third Avenue North Residence,"On time and date of report, Public Safety assisted residence life staff with the confiscation of marijuana from a student's room.",Closed/Referred to University Judicial
1-2013-002298,08/20/2013,3:40 PM,Larceny,Bobst Library,"On time and date of report, a student states that between 2pm August 16th and 1pm August 18th, her cosmetic bag with contents valued at $80 was taken from her secured locker on the 8th floor. There was no visible indication of tampering. Declined police notification.",Open/Under Investigation
1-2013-002304,08/21/2013,10:10 AM,Sexual Offense,240 Mercer Street,"On time and date of report, Public Safety was apprised that a student residing in the building reported on August 10th that a building employee forcibly fondled her while in her apartment for a repair. Declined police notification.",Open/Under Investigation
1-2013-002308,08/21/2013,3:55 PM,Larceny,240 Mercer Street,"On time and date of report, a student states that between August 11th and August 15th, $400 (USC) was taken from on top of her desk in the apartment she shares with another student. No other property was reported missing. Declined police notification at this time.",Open/Under Investigation
1-2013-002309,08/21/2013,6:00 PM,Harassment,Genomics Building,"On time and date of report, a staff member states that between August 8th and August 9th, she received a number of unwanted emails from a person she knew in India. The sender of the email attempted to gain access to the building to see her and was denied. Declined police notification at this time.",Open/Under Investigation
1-2013-002312,08/22/2013,4:45 AM,Larceny,Off Campus,"On time and date of report, a student states that while walking on 14th Street in front of the Palladium Residence Hall, he was approached by three unidentified males asking for a cigarette. As soon as they departed, he realized that his smart phone was missing. NYPD was notified, canvassed the area and located the individuals. Property was recovered and the individuals arrested.",Closed/Arrest Involved
1-2013-002315,08/22/2013,3:45 PM,Larceny,286 Mercer Street,"On time and date of report, a staff member states that at 3:15pm, two unidentified males exited the building with a 80"" LCD TV valued at $4,000. NYPD notified and a police report was filed.",Open/Under Investigation
1-2013-002318,08/23/2013,9:35 AM,Larceny,Washington Square Park,"On time and date of report, an NYU student states that 5 minutes prior to making the report, an unidentified male snatched his bag while he was walking in the park and fled in an unknown direction. No further information was provided. Declined police notification.",Closed/Uncooperative Complainant
1-2013-002320,08/23/2013,11:05 AM,Larceny,Education Building,"On time and date of report, a staff member states that between July 29th and 9:30am on date of report, two Mac computers with a combined value of $1,699 were taken from two different studios on the 3rd floor. NYPD notified and a police report was filed.",Open/Under Investigation
1-2013-002323,08/23/2013,2:00 PM,Larceny,726 Broadway/NYU Bookstore,"On time and date of report, an employee of Think coffeee states that between 1:30pm and 6:30pm on August 4th, his I-Pad valued at $600 was taken from his bag which was left in an unlocked storage room. Declined police notification.",Open/Under Investigation
1-2013-002330,08/25/2013,7:58 AM,Larceny,Washington Square Park,"On time and date of report, a member of Public Safety observed an unidentified individual stealing a bicycle from within the confines of the park. Individual was detained and arrested by the NYPD.",Closed/Arrest Involved
1-2013-002331,08/25/2013,11:15 AM,Larceny,Brittany Hall,"On time and date of report, the parent of a student states that her daughter's handbag containing personal identification and cash was taken from the lounge at approximately 11am on date of report while it was left unattended. Declined police notification.",Open/Under Investigation
1-2013-002337,08/26/2013,12:30 AM,Controlled Substance,Hayden Hall,"On time and date of report, Public Safety assisted residence life staff with the confiscation of drug paraphernalia from a student's room.",Closed/Reffered to University Judicial
1-2013-002343,08/26/2013,8:40 AM,Larceny,421 1st Avenue,"On time and date of report, a staff member states that between 8:35 am and 12:30pm on August 23rd, $300 (USC) was removed from her handbag which was place in an unlocked locker on the 8th floor. Declined police notification at this time.",Open/Under Investigation
